191229907,717747034 960073242 
124051562,
443203309,815910283 774739438 453788277 482521015 019727277 
656694094,454015376 381985101 195456972 661373922 906837461 
751481289,850222804 803036163 205231639 879274288 
030430592,199143170 307624550 061641115 
598511946,774739438 416226593 334211754 885382916 066347968 
287885487,
283550241,824184532 073251899 
291018793,
411130244,908908708 952261427 
646784751,546208817 461501057 917936441 628786480 674447513 
729970068,345198967 073251899 
325240669,002355059 263342766 815910283 
824184532,
456791858,217963824 247845118 290727120 661373922 
793455639,200178660 549438170 199569206 
630123310,465765050 578259148 529292782 951451786 671241835 
584074989,901731220 536116058 042501516 
565897169,
758089734,
266837606,795919070 749228847 709776640 
932522725,473872385 294796855 353388219 696883640 131428559 
951639324,943840483 
996121723,924588325 750576897 387808151 340277135 
282937835,730617861 
029936147,729970068 184627199 290727120 
299148817,815910283 627685485 340277135 
959948647,
106653138,161087605 
737626970,
988071319,473872385 193954099 536116058 
635419823,611538169 243264616 414422450 
497302003,
557162982,452946075 
045077560,
348928890,168822178 
004038654,
465232460,388743010 
019727277,565897169 151046571 574456315 764068924 
155172307,
396834010,
742781286,
838150210,529292782 146006374 315729510 974296220 020951466 
118934218,803036163 287885487 
581697008,200178660 189083663 050550291 745273655 132875972 
184627199,
951451786,862663051 
282620544,163613728 
071357297,643925663 217963824 565897169 237738395 539054520 
554506704,925031282 646784751 825926166 
674447513,635419823 592434186 290256913 965287380 
965287380,954417236 376656677 751481289 670031819 963625364 
953296966,325240669 255058465 006622492 298531281 
906837461,
428074584,
661747617,034802737 154476640 
154476640,010440236 019490258 745273655 337870963 
764651765,
664694148,694167117 282620544 
059964245,729970068 
107829595,963625364 
066347968,739800323 422659863 884239013 429996502 344816776 
039250801,078000702 917936441 
943840483,497302003 627685485 941581305 997530909 
098185333,
824698919,144789981 
297372747,377324092 396834010 293157037 
850699634,
445967721,838144883 098185333 244204066 734815988 771880475 
217963824,
264656364,750356062 
578259148,918883464 791646150 104245293 040778917 818526306 
730617861,667381477 803036163 859274408 540429270 
962667744,034802737 
002355059,269110671 750767074 832493128 
482521015,
451124601,750767074 902457705 
739800323,
854294568,921044157 628786480 
921044157,692709165 099140307 
136415367,146751276 224539987 
932048878,294796855 818002068 311618071 155172307 
161087605,549438170 376656677 953296966 208544341 524828123 
309204763,584074989 200178660 423539875 030430592 678105101 
131428559,724954830 635419823 396834010 217963824 
862663051,
606789769,071357297 096250255 205231639 124204460 
915506610,732967106 199143170 
146013558,030430592 
929911407,729970068 298531281 902365865 951639324 890666129 
536116058,
072621776,199569206 413729837 943840483 
777764252,729204900 748128958 
592067138,813707379 
